snomed,autism
39951000119105,1
771448004,1
870262000,1
191689008,1
191690004,1
191692007,1
191693002,1
231536004,1
373618009,1
408856003,1
408857007,1
408858002,1
432091002,1
442314000,1
702356009,1
702450004,1
702732007,1
708037001,1
712884004,1
718393002,1
719600006,1
722287002,1
723332005,1
733623005,1
766824003,1
770790004,1
771512003,1
783089006,1
870260008,1
870261007,1
870263005,1
870264004,1
870265003,1
870266002,1
870267006,1
870268001,1
870269009,1
870270005,1
870280009,1
870282001,1
870303005,1
870304004,1
870305003,1
870306002,1
870307006,1
870308001,1
23560001,1
35919005,1
43614003,1
68618008,1
71961003,1
